"ndc","rxcui","va"
"00093005801",835603,"CN101"
"00093005805",835603,"CN101"
"00093007401",854873,"CN309"
"00093010901",308979,"CN400"
"00093010910",308979,"CN400"
"00093013501",200031,"CV100"
"00093013505",200031,"CV100"
"00093015010",993781,"CN101"
"00093026215",103456,"DE200"
"00093026292",103456,"DE200"
"00093026492",103457,"DE200"
"00093031101",978006,"GA208"
"00093031401",834022,"MS102"
"00093031801",833217,"CV200"
"00093031901",831103,"CV200"
"00093075201",197381,"CV100"
"00093075210",197381,"CV100"
"00093077110",904458,"CV350"
"00093077198",904458,"CV350"
"00093078701",197380,"CV100"
"00093078710",197380,"CV100"
"00093081001",198045,"CN601"
"00093081101",317136,"CN601"
"00093081201",198046,"CN601"
"00093083201",197527,"CN302"
"00093083205",197527,"CN302"
"00093092610",197903,"CV350"
"00093092810",197905,"CV350"
"00093094801",855942,"MS102"
"00093098301",312059,"AM700"
"00093100301",866018,"CN309"
"00093100305",866018,"CN309"
"00093101042",106346,"DE101"
"00093106001",1923422,"CV100"
"00093106101",1923426,"CV100"
"00093117401",834102,"AM110"
"00093117410",834102,"AM110"
"00093117701",866042,"AM300"
"00093202623",141963,"AM200"
"00093202631",141963,"AM200"
"00093202694",141963,"AM200"
"00093202723",308459,"AM200"
"00093206406",242461,"CV900"
"00093206901",197626,"CV150"
"00093214062",856467,"HS200"
"00093216568",1725059,"CN102"
"00093217901",903456,"HS851"
"00093220301",311666,"AU300"
"00093220305",311666,"AU300"
"00093220310",311666,"AU300"
"00093220401",311668,"AU300"
"00093220405",311668,"AU300"
"00093221001",314234,"GA302"
"00093221005",314234,"GA302"
"00093221098",314234,"GA302"
"00093223801",309115,"AM115"
"00093224001",197454,"AM115"
"00093226301",308192,"AM111"
"00093226401",308194,"AM111"
"00093226801",598025,"AM111"
"00093227434",617296,"AM111"
"00093227534",562508,"AM111"
"00093227973",617430,"AM111"
"00093301665",757707,"CV490"
"00093301665",757707,"GU900"
"00093301756",403957,"CV490"
"00093301756",403957,"GU900"
"00093309256",724859,"CN809"
"00093309356",861960,"CN809"
